 frequency       db(v(Z))        ph(v(Z))       
 8.44485063e+01 -1.05628579e+00 -4.27759348e-01 
 9.05096680e+01 -1.16598229e+00 -4.54515807e-01 
 9.70058603e+01 -1.28866321e+00 -4.82436090e-01 
 1.03968307e+02 -1.42543821e+00 -5.11480160e-01 
 1.11430472e+02 -1.57741282e+00 -5.41591550e-01 
 1.19428223e+02 -1.74566500e+00 -5.72696577e-01 
 1.28000000e+02 -1.93121908e+00 -6.04704070e-01 
 1.37187003e+02 -2.13501807e+00 -6.37505715e-01 
 1.47033389e+02 -2.35789566e+00 -6.70977097e-01 
 1.57586485e+02 -2.60054940e+00 -7.04979464e-01 
 1.68897013e+02 -2.86351691e+00 -7.39362197e-01 
 1.81019336e+02 -3.14715652e+00 -7.73965908e-01 
 1.94011721e+02 -3.45163407e+00 -8.08626015e-01 
 2.07936613e+02 -3.77691657e+00 -8.43176617e-01 
 2.22860944e+02 -4.12277350e+00 -8.77454440e-01 
 2.38856446e+02 -4.48878546e+00 -9.11302635e-01 
 2.56000000e+02 -4.87435958e+00 -9.44574220e-01 
 2.74374006e+02 -5.27875047e+00 -9.77134974e-01 
 2.94066779e+02 -5.70108525e+00 -1.00886569e+00 
 3.15172970e+02 -6.14039091e+00 -1.03966368e+00 
 3.37794025e+02 -6.59562239e+00 -1.06944362e+00 
 3.62038672e+02 -7.06568983e+00 -1.09813765e+00 
 3.88023441e+02 -7.54948391e+00 -1.12569490e+00 
 4.15873227e+02 -8.04589818e+00 -1.15208062e+00 
 4.45721888e+02 -8.55384816e+00 -1.17727485e+00 
 4.77712892e+02 -9.07228661e+00 -1.20127089e+00 
 5.12000000e+02 -9.60021538e+00 -1.22407371e+00 
 5.48748013e+02 -1.01366938e+01 -1.24569820e+00 
 5.88133558e+02 -1.06808441e+01 -1.26616753e+00 
 6.30345940e+02 -1.12318543e+01 -1.28551165e+00 
 6.75588050e+02 -1.17889790e+01 -1.30376576e+00 
 7.24077344e+02 -1.23515384e+01 -1.32096912e+00 
 7.76046882e+02 -1.29189162e+01 -1.33716384e+00 
 8.31746454e+02 -1.34905565e+01 -1.35239395e+00 
 8.91443777e+02 -1.40659600e+01 -1.36670456e+00 
 9.55425783e+02 -1.46446802e+01 -1.38014118e+00 
 1.02400000e+03 -1.52263192e+01 -1.39274916e+00 
 1.09749603e+03 -1.58105232e+01 -1.40457324e+00 
 1.17626712e+03 -1.63969787e+01 -1.41565718e+00 
 1.26069188e+03 -1.69854084e+01 -1.42604354e+00 
 1.35117610e+03 -1.75755678e+01 -1.43577342e+00 
 1.44815469e+03 -1.81672411e+01 -1.44488639e+00 
 1.55209376e+03 -1.87602388e+01 -1.45342033e+00 
 1.66349291e+03 -1.93543944e+01 -1.46141143e+00 
 1.78288755e+03 -1.99495615e+01 -1.46889416e+00 
 1.91085157e+03 -2.05456122e+01 -1.47590125e+00 
 2.04800000e+03 -2.11424342e+01 -1.48246377e+00 
 2.19499205e+03 -2.17399293e+01 -1.48861110e+00 
 2.35253423e+03 -2.23380116e+01 -1.49437104e+00 
 2.52138376e+03 -2.29366062e+01 -1.49976987e+00 
 2.70235220e+03 -2.35356474e+01 -1.50483236e+00 
 2.89630938e+03 -2.41350781e+01 -1.50958191e+00 
 3.10418753e+03 -2.47348483e+01 -1.51404058e+00 
 3.32698582e+03 -2.53349144e+01 -1.51822917e+00 
 3.56577511e+03 -2.59352384e+01 -1.52216731e+00 
 3.82170313e+03 -2.65357872e+01 -1.52587351e+00 
 4.09600000e+03 -2.71365319e+01 -1.52936525e+00 
 4.38998410e+03 -2.77374475e+01 -1.53265904e+00 
 4.70506846e+03 -2.83385119e+01 -1.53577049e+00 
 5.04276752e+03 -2.89397061e+01 -1.53871437e+00 
 5.40470440e+03 -2.95410136e+01 -1.54150468e+00 
 5.79261875e+03 -3.01424199e+01 -1.54415473e+00 
 6.20837506e+03 -3.07439124e+01 -1.54667714e+00 
 6.65397163e+03 -3.13454802e+01 -1.54908397e+00 
 7.13155021e+03 -3.19471140e+01 -1.55138672e+00 
 7.64340627e+03 -3.25488055e+01 -1.55359640e+00 
 8.19200000e+03 -3.31505477e+01 -1.55572359e+00 
 8.77996821e+03 -3.37523344e+01 -1.55777848e+00 
 9.41013692e+03 -3.43541604e+01 -1.55977093e+00 
 1.00855350e+04 -3.49560212e+01 -1.56171048e+00 
 1.08094088e+04 -3.55579129e+01 -1.56360643e+00 
 1.15852375e+04 -3.61598324e+01 -1.56546790e+00 
 1.24167501e+04 -3.67617769e+01 -1.56730381e+00 
 1.33079433e+04 -3.73637441e+01 -1.56912297e+00 
 1.42631004e+04 -3.79657325e+01 -1.57093412e+00 
 1.52868125e+04 -3.85677404e+01 -1.57274597e+00 
 1.63840000e+04 -3.91697670e+01 -1.57456721e+00 
 1.75599364e+04 -3.97718116e+01 -1.57640659e+00 
 1.88202738e+04 -4.03738739e+01 -1.57827295e+00 
 2.01710701e+04 -4.09759539e+01 -1.58017526e+00 
 2.16188176e+04 -4.15780520e+01 -1.58212266e+00 
 2.31704750e+04 -4.21801691e+01 -1.58412450e+00 
 2.48335002e+04 -4.27823061e+01 -1.58619041e+00 
 2.66158865e+04 -4.33844645e+01 -1.58833032e+00 
 2.85262009e+04 -4.39866463e+01 -1.59055451e+00 
 3.05736251e+04 -4.45888538e+01 -1.59287366e+00 
 3.27680000e+04 -4.51910898e+01 -1.59529893e+00 
 3.51198728e+04 -4.57933577e+01 -1.59784197e+00 
 3.76405477e+04 -4.63956616e+01 -1.60051501e+00 
 4.03421401e+04 -4.69980061e+01 -1.60333088e+00 
 4.32376352e+04 -4.76003967e+01 -1.60630312e+00 
 4.63409500e+04 -4.82028398e+01 -1.60944602e+00 
 4.96670005e+04 -4.88053427e+01 -1.61277469e+00 
 5.32317730e+04 -4.94079141e+01 -1.61630511e+00 
 5.70524017e+04 -5.00105637e+01 -1.62005426e+00 
 6.11472501e+04 -5.06133029e+01 -1.62404015e+00 
 6.55360000e+04 -5.12161448e+01 -1.62828194e+00 
 7.02397456e+04 -5.18191046e+01 -1.63280001e+00 
 7.52810954e+04 -5.24221996e+01 -1.63761608e+00 
 8.06842803e+04 -5.30254497e+01 -1.64275328e+00 
 8.64752704e+04 -5.36288780e+01 -1.64823629e+00 
 9.26819000e+04 -5.42325109e+01 -1.65409147e+00 
 9.93340009e+04 -5.48363788e+01 -1.66034694e+00 
 1.06463546e+05 -5.54405167e+01 -1.66703276e+00 
 1.14104803e+05 -5.60449649e+01 -1.67418103e+00 
 1.22294500e+05 -5.66497697e+01 -1.68182609e+00 
 1.31072000e+05 -5.72549843e+01 -1.69000465e+00 
 1.40479491e+05 -5.78606699e+01 -1.69875598e+00 
 1.50562191e+05 -5.84668973e+01 -1.70812208e+00 
 1.61368561e+05 -5.90737474e+01 -1.71814790e+00 
 1.72950541e+05 -5.96813138e+01 -1.72888154e+00 
 1.85363800e+05 -6.02897043e+01 -1.74037445e+00 
 1.98668002e+05 -6.08990427e+01 -1.75268173e+00 
 2.12927092e+05 -6.15094722e+01 -1.76586230e+00 
 2.28209607e+05 -6.21211576e+01 -1.77997922e+00 
 2.44589001e+05 -6.27342891e+01 -1.79509998e+00 
 2.62144000e+05 -6.33490862e+01 -1.81129674e+00 
 2.80958983e+05 -6.39658026e+01 -1.82864664e+00 
 3.01124382e+05 -6.45847313e+01 -1.84723216e+00 
 3.22737121e+05 -6.52062111e+01 -1.86714138e+00 
 3.45901082e+05 -6.58306341e+01 -1.88846827e+00 
 3.70727600e+05 -6.64584545e+01 -1.91131302e+00 
 3.97336004e+05 -6.70901983e+01 -1.93578227e+00 
 4.25854184e+05 -6.77264759e+01 -1.96198933e+00 
 4.56419214e+05 -6.83679953e+01 -1.99005426e+00 
 4.89178001e+05 -6.90155783e+01 -2.02010391e+00 
 5.24288000e+05 -6.96701796e+01 -2.05227172e+00 
 5.61917965e+05 -7.03329076e+01 -2.08669730e+00 
 6.02248763e+05 -7.10050496e+01 -2.12352565e+00 
 6.45474242e+05 -7.16880989e+01 -2.16290598e+00 
 6.91802164e+05 -7.23837858e+01 -2.20498985e+00 
 7.41455200e+05 -7.30941110e+01 -2.24992859e+00 
 7.94672007e+05 -7.38213804e+01 -2.29786976e+00 
 8.51708369e+05 -7.45682407e+01 -2.34895238e+00 
 9.12838427e+05 -7.53377116e+01 -2.40330081e+00 
 9.78356002e+05 -7.61332132e+01 -2.46101714e+00 
